 ,Area,Mean,Min,Max,Angle,Length
1,0.046,182.654,61.000,215.079,2.911,1.641
2,0.053,186.208,168.667,195.000,0.000,1.889
3,0.059,170.313,146.813,183.693,-2.291,2.085
4,0.068,189.708,165.000,206.253,1.975,2.418
5,0.065,160.038,109.474,201.481,-0.579,2.292
6,0.054,188.364,153.333,203.710,-0.830,1.917
7,0.046,177.589,153.000,197.667,0.000,1.639
8,0.032,176.849,153.333,194.000,0.000,1.139
9,0.037,170.576,153.333,188.667,0.000,1.306
10,0.032,155.545,135.000,160.333,0.000,1.111
11,0.027,183.064,158.667,196.129,0.838,0.949
12,0.056,164.204,141.667,177.667,0.000,1.972
13,0.056,158.291,143.014,165.977,-2.420,1.974
14,0.039,144.709,135.000,152.000,-1.169,1.361
15,0.031,137.639,122.692,158.795,-7.306,1.092
16,0.026,160.030,134.667,174.697,1.736,0.917
17,0.030,159.282,143.667,173.333,0.000,1.056
18,0.025,163.434,151.667,175.333,0.000,0.889
19,0.036,172.865,156.000,193.667,0.000,1.278
20,0.053,185.703,163.353,202.015,-2.526,1.891
21,0.039,193.171,174.272,203.027,1.169,1.361
22,0.061,183.563,149.667,202.120,-1.469,2.167
23,0.046,178.989,161.333,193.333,0.000,1.611
24,0.058,168.306,140.333,179.606,-1.169,2.042
25,0.055,163.451,128.667,182.000,0.000,1.944
26,0.065,154.727,124.643,176.361,-0.690,2.306
27,0.069,174.793,139.667,196.333,0.000,2.472
28,0.072,157.974,114.667,174.667,-1.245,2.556
29,0.076,156.401,112.333,175.054,-2.337,2.724
30,0.050,161.410,127.917,176.498,-1.954,1.765
31,0.044,149.166,116.000,175.333,-2.045,1.557
32,0.085,157.968,106.584,172.658,-3.151,3.032
33,0.073,149.364,124.258,171.240,-4.304,2.591
34,0.075,161.200,115.000,178.500,-2.386,2.669
35,0.056,145.726,113.333,168.136,-4.830,1.979
36,0.044,156.094,111.333,172.071,-3.066,1.558
37,0.066,163.023,108.000,181.275,-2.694,2.364
38,0.110,162.114,122.596,186.075,-1.210,3.945
39,0.118,164.740,114.274,192.750,-2.326,4.221
40,0.106,166.178,131.000,181.728,-3.786,3.786
41,0.112,156.849,95.778,183.833,-4.764,4.014
42,0.107,156.194,99.000,183.667,0.000,3.833
43,0.093,148.325,109.667,181.667,-2.386,3.336
44,0.133,165.608,102.667,187.957,-0.999,4.779
45,0.139,159.198,113.667,174.108,-0.320,4.972
46,0.147,144.836,96.816,194.430,-1.507,5.280
47,0.079,144.853,104.667,165.333,0.000,2.806
48,0.042,137.028,93.667,157.995,-4.124,1.481
49,0.076,153.014,106.959,175.980,-1.169,2.723
50,0.068,133.928,89.333,170.770,-2.632,2.419
51,0.064,149.626,101.333,164.951,-2.793,2.280
52,0.069,143.738,89.697,173.000,-2.603,2.447
53,0.096,157.311,101.409,198.382,-3.257,3.422
54,0.082,146.058,89.222,204.190,-2.726,2.920
55,0.083,156.007,99.333,180.268,-1.606,2.973
56,0.081,160.986,99.667,180.920,-0.551,2.889
57,0.073,151.965,115.667,179.000,0.000,2.611
58,0.096,147.440,100.645,171.000,0.466,3.417
59,0.087,142.845,77.286,176.414,0.512,3.111
