 ,Area,Mean,Min,Max,Angle,Length
1,0.032,184.764,80.333,211.892,9.273,1.241
2,0.047,195.907,172.208,208.333,12.529,1.843
3,0.034,201.200,182.333,209.727,8.746,1.315
4,0.050,203.624,173.365,222.827,11.739,1.966
5,0.020,206.117,176.644,224.021,11.310,0.765
6,0.034,198.275,177.406,210.113,8.584,1.340
7,0.028,204.732,183.000,215.697,11.821,1.098
8,0.019,193.080,173.000,205.267,7.595,0.756
9,0.027,201.862,185.000,210.256,9.462,1.064
10,0.032,170.428,119.640,193.474,9.273,1.241
11,0.031,202.384,179.861,213.540,6.208,1.194
12,0.037,205.524,182.667,214.870,3.879,1.478
13,0.024,207.535,182.044,219.158,4.514,0.953
14,0.024,201.016,184.667,209.570,7.496,0.958
15,0.021,195.998,173.667,208.042,8.881,0.809
16,0.022,196.389,175.806,207.156,8.599,0.864
17,0.028,194.146,161.318,210.909,3.900,1.102
18,0.030,200.172,171.667,217.922,6.072,1.181
19,0.037,195.949,169.333,209.853,4.844,1.480
20,0.036,188.363,143.911,202.518,5.102,1.405
21,0.051,190.640,160.000,208.823,5.641,2.034
22,0.062,193.077,163.667,205.391,5.886,2.437
23,0.061,194.056,167.917,209.106,5.798,2.433
24,0.058,183.030,162.000,193.029,8.130,2.297
25,0.049,170.964,150.667,182.667,3.668,1.953
26,0.050,174.391,156.620,187.591,4.343,1.980
27,0.051,184.089,168.000,199.272,4.236,2.030
28,0.041,176.152,144.667,190.682,0.895,1.600
29,0.049,185.179,172.667,192.749,2.974,1.927
30,0.036,174.262,151.333,185.386,3.013,1.427
31,0.037,170.162,146.667,183.051,1.805,1.454
32,0.051,166.336,139.333,179.654,1.414,2.025
33,0.033,171.016,158.333,181.224,3.302,1.302
34,0.042,163.340,132.333,181.672,0.855,1.675
35,0.036,159.293,133.000,170.286,2.045,1.400
36,0.059,172.252,141.000,187.333,0.000,2.324
37,0.083,161.828,125.000,176.773,1.302,3.300
38,0.081,161.372,125.380,174.172,0.895,3.199
39,0.064,145.375,116.667,164.000,0.000,2.549
40,0.053,148.059,122.000,156.667,0.000,2.099
41,0.061,152.151,96.333,171.261,0.591,2.424
42,0.067,138.230,102.667,153.358,1.621,2.650
43,0.070,148.925,114.333,164.333,0.516,2.774
44,0.069,133.489,91.333,159.145,0.521,2.749
45,0.051,135.944,90.667,152.167,1.432,2.000
46,0.061,140.598,93.333,158.000,0.000,2.399
47,0.049,130.249,87.667,151.000,0.000,1.949
48,0.049,133.177,100.667,150.333,0.000,1.949
49,0.052,124.594,90.667,144.000,0.000,2.049
50,0.043,147.232,114.667,159.765,-2.392,1.697
51,0.056,126.958,89.015,147.082,-1.287,2.225
52,0.049,143.236,107.000,160.000,0.000,1.949
53,0.059,115.832,82.667,131.667,0.000,2.349
54,0.049,116.329,74.943,132.943,-2.340,1.939
55,0.047,126.596,89.000,149.453,-4.574,1.880
56,0.053,104.062,79.000,120.952,-0.682,2.099
57,0.068,131.314,86.559,152.019,-3.708,2.705
58,0.063,126.865,84.187,137.420,-4.004,2.505
59,0.074,130.090,108.000,139.333,-2.426,2.952
60,0.094,135.964,109.667,147.747,-3.053,3.754
61,0.081,127.418,92.333,148.047,-2.237,3.201
