 ,Area,Mean,Min,Max,Angle,Length
1,0.035,119.096,77.842,150.409,-24.550,1.237
2,0.039,103.716,77.166,119.496,-19.179,1.353
3,0.046,121.710,94.079,147.793,-19.654,1.652
4,0.059,99.477,81.667,133.667,-16.991,2.091
5,0.016,115.857,93.667,126.667,0.000,0.556
6,0.016,106.270,89.000,127.667,0.000,0.556
7,0.015,113.912,98.667,138.167,-3.180,0.501
8,0.009,120.250,102.667,128.000,0.000,0.306
9,0.012,115.956,94.000,128.000,0.000,0.389
10,0.019,99.960,79.333,126.000,0.000,0.667
11,0.015,103.233,81.000,122.667,0.000,0.528
12,0.028,114.213,85.667,142.333,0.000,0.972
13,0.020,112.484,90.333,126.347,4.574,0.697
14,0.015,109.228,94.000,122.421,3.013,0.529
15,0.012,114.483,94.000,128.000,-7.595,0.420
16,0.010,114.410,104.333,125.333,0.000,0.333
17,0.005,128.270,111.333,134.000,9.462,0.169
18,0.015,126.246,98.000,141.667,0.000,0.500
19,0.019,119.958,100.333,130.667,0.000,0.639
20,0.023,106.467,89.667,138.667,0.000,0.806
21,0.020,120.495,82.333,134.133,4.574,0.697
22,0.014,105.056,80.667,114.333,0.000,0.472
23,0.016,103.992,80.100,125.500,2.862,0.556
24,0.012,101.792,85.000,111.333,0.000,0.417
25,0.020,97.538,80.000,115.333,0.000,0.694
26,0.014,106.833,83.667,129.000,0.000,0.472
27,0.009,104.139,82.667,116.000,0.000,0.306
28,0.011,105.912,96.462,115.077,4.399,0.362
29,0.008,112.818,97.000,118.667,0.000,0.278
30,0.010,111.105,89.667,122.444,-4.764,0.334
31,0.010,119.872,108.667,127.167,4.764,0.334
32,0.008,109.700,88.333,128.333,0.000,0.250
33,0.015,107.491,86.333,122.333,0.000,0.500
34,0.012,120.133,108.667,131.000,0.000,0.389
35,0.017,104.636,79.667,124.000,0.000,0.583
36,0.019,104.246,75.333,119.708,-2.386,0.667
37,0.017,110.364,89.667,124.000,0.000,0.583
38,0.019,111.102,75.333,126.000,-2.386,0.667
39,0.022,107.002,89.123,126.815,2.121,0.751
40,0.021,96.765,74.333,107.667,0.000,0.722
41,0.025,106.969,78.333,138.333,0.000,0.861
42,0.027,94.314,64.667,114.667,0.000,0.944
43,0.024,102.140,80.333,116.333,0.000,0.833
44,0.023,90.200,76.667,99.000,0.000,0.806
45,0.020,109.691,83.333,123.893,-2.291,0.695
46,0.036,113.109,76.703,136.812,-1.245,1.278
47,0.034,102.909,72.333,112.333,0.000,1.194
48,0.042,101.669,72.013,119.497,-1.081,1.472
49,0.044,106.509,80.333,118.000,0.000,1.556
50,0.072,119.043,85.667,131.587,-0.623,2.556
51,0.067,100.252,63.333,133.322,0.666,2.389
52,0.093,106.775,67.333,124.333,0.000,3.306
53,0.099,107.185,67.667,133.000,0.000,3.528
54,0.094,125.036,86.000,152.667,-1.420,3.362
55,0.127,116.519,77.333,140.493,-1.406,4.529
56,0.110,83.546,42.066,129.732,-2.420,3.948
57,0.090,125.797,92.333,140.667,-2.490,3.197
58,0.127,120.805,89.653,144.463,-0.176,4.514
59,0.169,110.974,72.731,124.303,-1.577,6.058
