 ,Area,Mean,Min,Max,Angle,Length
1,0.063,128.279,53.667,168.337,1.848,2.184
2,0.080,145.731,98.667,162.000,4.574,2.826
3,0.045,140.297,99.000,159.690,4.086,1.581
4,0.074,130.528,94.696,147.203,4.970,2.601
5,0.033,127.409,90.000,140.333,2.862,1.128
6,0.074,136.091,95.000,146.833,3.731,2.597
7,0.060,117.182,94.838,134.973,4.635,2.091
8,0.050,135.263,97.667,150.000,5.528,1.755
9,0.066,135.666,90.000,174.366,5.572,2.321
10,0.048,140.373,85.333,154.556,4.764,1.696
11,0.043,142.707,102.333,150.667,8.746,1.482
12,0.071,137.599,96.667,154.985,3.857,2.513
13,0.041,132.619,91.059,156.275,6.710,1.447
14,0.029,137.791,92.750,147.194,4.764,1.018
15,0.022,138.444,101.593,157.617,8.427,0.769
16,0.022,143.007,107.667,169.543,10.491,0.773
17,0.020,141.509,113.000,155.889,9.462,0.685
18,0.013,136.131,97.333,153.958,10.620,0.459
19,0.038,143.330,90.454,165.376,6.072,1.331
20,0.045,147.965,104.333,167.000,0.000,1.577
21,0.037,142.424,98.577,163.559,10.081,1.287
22,0.045,149.377,104.333,166.119,2.045,1.578
23,0.072,139.176,93.667,169.000,0.000,2.535
24,0.083,138.431,100.333,162.987,-0.551,2.930
25,0.067,131.968,89.325,155.618,0.690,2.338
26,0.098,128.804,90.333,139.057,1.397,3.466
27,0.100,141.290,93.333,152.192,1.833,3.523
28,0.090,140.850,99.667,150.333,0.000,3.155
29,0.071,134.387,92.129,152.727,-1.953,2.480
30,0.056,138.386,96.000,153.219,-2.454,1.974
31,0.074,135.632,88.667,151.333,0.623,2.592
32,0.115,135.216,89.667,154.806,-2.386,4.060
33,0.111,124.478,88.118,153.657,-2.060,3.918
34,0.128,125.304,86.500,142.400,-2.862,4.513
35,0.142,126.919,80.333,145.333,-1.931,5.017
36,0.156,132.814,84.952,152.918,-2.337,5.526
37,0.186,135.174,86.667,150.299,-2.447,6.597
38,0.198,136.474,83.602,162.269,-2.309,6.992
39,0.182,128.045,84.404,142.904,-1.507,6.425
40,0.101,140.804,94.000,158.444,0.909,3.550
41,0.155,151.201,111.000,168.261,-2.361,5.469
42,0.175,143.478,90.000,163.079,-1.562,6.199
43,0.189,141.405,90.000,156.333,0.000,6.676
44,0.201,133.814,75.000,152.381,-0.682,7.099
45,0.217,133.464,72.667,158.004,-1.259,7.692
46,0.198,125.858,80.048,145.486,-1.380,7.016
47,0.153,132.740,84.422,162.771,-0.895,5.409
48,0.117,133.703,95.333,149.000,0.000,4.141
49,0.179,137.973,83.333,157.000,0.000,6.338
50,0.170,149.736,92.000,167.338,-0.807,6.001
